tweets,class
it's obama's fault that there'll be big defense cuts because gop insisted on them instead of raising debt ceiling or taxes,-1
you not worried about obama frauding election preset voting machines voting pages of votes acorn violations black panthers,-1
rt '2016 obama's america' dvd now only 999 on amazon,0
fearchucker fox contributor mark sanford says obama to 'throw a lot of spears' at debate,0
vote obama,1
obama has investments in companies that ship jobs overseas,-1
radio second term for obama = dangerous to jews,-1
hey barack obama,0
barack obama has lowest spending record of any recent president why let facts get in the way u fail insen,1
garyjohnson will balance thebudget withdraw obama support and support gary johnson,-1
obama will do a better job philadelphia inquirer,1
it only took obama 4 years to do three times the damage bush did in 8 there's a slap of truth for you,-1
question for obama do you think that detailed foreign policy decisions should be part of a presidential,0
obama was your gold your guns your silver your silverware your golf clubs in your golf balls and all of our money fk that,-1
obama supports slaughter of babies born alive after failed abortions no one with a shred of,-1
ingraham & hume scold nyts zeleny and media for not pursuing obama administrations dissembling on libya,-1
what happens if obama loses upthecreek,0
goods costing americans more money due to obamas failed policies,-1
bruce springsteen to campaign for obama in ohio iowa chicago tribune new york times blogbruce springsteen to campaign for obama,0
j woww is voting for obama i always knew she was the best cast member,1
don't speak for the rich and say that obama has raised taxes he wants the rich pay the just not fair amount of taxes they should pay,1
winston salem journal endorses obama they haven't endorsed a democrat since 1964 obama is the best choice for president p2,1
another obama admin oops darrell issa looking into september jobs report [update] via,-1
no and for the record i blame obama his presidency is so bad it even hurtsjobs in the stratosphere haha beat you to it,-1
want to vote twice for obama sure go ahead,1
actress singer president obama talks nicki minajmariah carey fight on the,0
obama surrogate benghazi never asked for more security conservative byte trying the first story again,-1
axelrod refuses to say whether obama met with natl security team before heading to las vegas,-1
rt here are the charts that should get obama reelected,1
if clinton didn't agree wrice's assessment of benghazi why did she stand wobama at wh trying 2 get us 2 accept the video 4 benghazigate,-1
obama owns shares of sensata personally benefits by outsourcing of jobs to china obama fox nation,-1
without asking congress obama puts us troops on syria border,-1
during obama's first term; the typical middleclass family has saved 3600 in tax cuts the war in iraq has ended,1
obama administration first to fund organization tied to copkilling terrorist group,-1
exactly i'm a bit surprised the odds for obama are so bad,0
obama says debate prep going great works on being aggressive yahoo news via,0
i hear that obama is going to dress up as a leader for halloween,1
last tweet for a bit keep praying america keep praying obama out of office he can take hillery & chicago mafia with him,-1
462 million americans live in poverty is obama going to campaign on his prosperity track record gingrich will,-1
hope america hears this truth video libya exhibit a of failed obama foreign policy,-1
adam schaeffer gotv psychology could give obama a second term,1
barone biden and obama run a campaign fit for the 1980s,0
obama's secret service landing for wednesday,0
obama for always,1
breaking news koch brothers warn employees of layoffs if obama reelected,-1
wsj calling obama campaign nazis classy via,-1
obama campaign slogan once you go black you never go back lmao haaha,-1
democrat campaign worker arrested for shooting at obama campaign hq acon ocra rs bet,0
whats amusing is that obama has shipped jobs overseas with taxpayer stimulus money,-1
america close to war with syria obama deployed us troops to jordan without notifying congress 1denniskucinich us,-1
bruce springsteen president obama rocker to support obama at two campaign spinner,0
people died obama lied omana's benghazigate via,-1
obama shamelessly claims economy is on right track and headed in right direction teaparty tcot tlot ocra,-1
i really respect obama thanks for an equal future godblessamerica,1
obama 2 termz,1
it's about to get much worse for obama,-1
my neighbor keeps screaming obama is a loser excuse me while i go stab him in the eye,0
u boyz better stay out da way they lockin shit up jus so black ppl cant vote for obama,-1
why is no one talking about obama's flu during first debate,0
i hate these obama commercials,-1
barack hussein obamainaugural presidential address inaugural presidential address by barack hussein obamahere,0
better than bush rt i think obama doing a fuck of a job running this country,-1
i bet obama has the coldesttt stroke game,0
today teamobamabiden just took resp for 4 american terror deaths b4 lieblaming youtube & rolling 2 vegas,-1
obama is the 1 that said he was christian 2 get elected which is a lie one of many lies shows where your ethic scale measures,-1
the obama clinton benghazi stalemate we all die,-1
obama trade document leaked revealing new corporate powers and broken campaign promises via,-1
why would anyone riot if obama lost he's done nothing but expand the wars and take away freedoms he is by definition a terrorist,-1
obama's green jobs promise 355 jobs & counting marita noon townhall finance conservative columnist via 2,0
cbs's logan obama lying about al qaeda via,-1
why do so many republicans really hate obama via,0
with the new morgan freemannarrated obama ad it's time for a chuck norrispaul ryan workout infomercial,0
the more dangerous the neighborhood the more obama signs i see interesting,-1
wow looks like companies are playing hardball ceo's are sending letters to their employees saying they're fired if obama wins,-1
i just made a adonation today to support president obama how about you,1
study over a million constructionjobs have been lost under obama so that's what he meant by you didn't build that fred thompson,-1
obama team hits back hard at romney over libya afp,0
churchill and obama,0
what an endorsement for obama theporn industry wants to do it one more time with president obama porn erection,1
early voter surge for obama update your news,1
don't forget that first obama denied securitythen americans diedthen he lied what a guy,-1
the only time black people tallk about ppolitics is if it involvs the legalization off weed or sometthing about obama,0
obama is best choice for president markets,1
the stock market is up over 75 since obama took office corporate profits at record levels 52 mm jobs since 2010,1
libya fallout gives rise to obamaclinton feud via,-1
obama obviously lied about an alloftheabove energy strategy,-1
morgan freeman is in the tank for obama,0
obama hasnt fixed anything only complete ignorant people would vote for him again,-1
in senate obama voted against the born alive act a bill that requires doctors 2 give care 2 babies who survive abortion,-1
people of america obama for forward or 3restricted r r r's,1
watch dnc staffer assists double voting in support of obama entertainment news via,-1
obama's recovery is the worst recovery of all the recoveries,-1
biden said he and obama was never told embassy needed help awol neither attended security briefingscan you say golf or fund raising dc,-1
senator obama was a parttime senator due to campaigning for president and obama has been a parttime president campaigning for a 2nd term,-1
obama's at yet another resort prepping for the debate shouldn't the pres have subject matter knowledge already it's his job tcot mapoli,-1
tommy thompsons son we have the opportunity to send obama back to chicagoor kenya obamaphobia,-1
fox news top stories top stories obama's refusal to deport illegal aliens unconstitutional,-1
obama breaks promise to investigate the massacre at dashte leili by northern alliance and us special forces troops,-1
proof obamas a muslim via,0
voteeeeeeeeeee for obama,1
two conservative newspapers endorse president obama,0
list of obama lies 2012 updated tcot lnyhbt,-1
watching chris wallace he should have demanded answers for what and when obama knew about the libyan attack biden debate = lies,-1
so in these 2 debatesobama couldn't look up and biden couldn't shut up tcot teaparty,-1
obama campaign confronts coal miners with lies with its false attack on mine workers who support mitt romney,-1
that's because obama is the worse president since jimmy carter on second thought he is the worse,-1
it's simple what obama needs to do push forward policies and aggressively put doubt in voters mind about gop,1
obama is dumber then a poptart,-1
another obama executive order this one allows americans bank accounts to be seized,-1
it's impossible to focus on an imaginary point it should be dismally evident that obama has no working foreign policy,-1
i voice my concerns if obama is re elected,-1
president obama breaths new life into campaign holds 5 pt lead in ohio ohio oh,1
the only thing i want to give to obama is a headache and maybe a free ticket home,-1
wow rt wisconsin senate candidate's son says we have the opportunity to send obama back to kenya,-1
this is why i don't like obama,-1
i am quite glad i don't live in the usa at the moment having to vote for obama with such vigor would hurt my finger,-1
murdoch predicts nightmare for israel if obama wins accuses white house of still lying about benghazi via,-1
if theyre moving their lips the obama white house is lying about the benghazi massacre,-1
barack obama's presidency 'has not helped cause of black people in us' via,-1
10thingsaboutme ill be voting for obama straightlikedat,1
poll says obama leading by 3wonder how they really poll that,1
best not to vote obama state dept told libyan consulate to stop asking for more security,-1
after watching the 2016 obama documentary i'm honestly terrified for our generation if he's elected again,-1
im voting for obama cause he smokes weed,1
vote for women's right to murder indiscriminately vote for obama,1
obama to cut medical benefits for active,-1
save the jobs vote obama out notobama savethejobs mitt2012 tiot,-1
in other words hillary says obama and biden are lying their asses off sos says bite me mr president,-1
obama is best choice for president via,1
newt gingrich said obama didn't show up for his debate as it was one of his national security briefings lol so true what a bafoon,-1
1 of many the big lie obama did not call benghazi attack terrorism on sep 12,-1
fuck romney i want obama to win again amitheonlyone,1
30 reasons why people under 30 should not vote for obama,-1
fact is that obama has taken something terrible and made it more terrible libs still play blamebushgame,-1
i'm honored that followed me i already voted early for obama i suggest my fellow ohioans do the same ohioansforobama,1
team obama,1
jason thompson on obama 'we have the opportunity' to asend the president back huffington post,-1
i'm rooting 4 obama 2 be a gr8 president so dems can stop pretending jfk was a good president,1
just watched obama 2016 every american needs to see this if reelected we will be in far worse state,-1
president obama debt,-1
heads up fox news is claiming obama owns stock in sensataisn't that some shit fox nation website,1
now that morgan freeman support barack obama i now know who will win the election godhasspoken,1
obama is gonna win because morgan freeman voices over one of his commercials,1
obama is definitely winning he got morgan freeman to narrate his ad,1
obama used morgan freeman's voice for his new commercial he gonna win thatsnotevenfair,1
having morgan freeman narrate an obama ad just got him couple hundred thousand votes,1
if you have morgan freeman narrating your presidential campaign add you've already won in my book obama,1
umm morgan freeman just did a voice over for a campaign video for obama you deff earned my vote now,1
my name's brock obama and i'm going to be your president for the next four years don't forget to vote this november,1
thewalkingdead is just a preview of america if obama gets reelected,-1
morgan freeman trending because of that obama commercial tt,0
circa 2009 obama killing carbon jobs environmentalists blamed for 500 workers fired in w via,-1
when someone tells me they are voting for obama the first thing i ask them is are you dumb lol,-1
if obamacare is repealed i'm moving my family back to the uk i refuse to live in the dark ages of,-1
from electric cars made in finland to solar panels made in mexico obama is guilty of outsourcing,-1
obama team promises an interesting debate translation you're gonna need a 15second delay rwfs,0
yuck son of gop senate candidate speaks of sending obama back to chicago or kenya,1
i'mnot voting for obama,-1
obama has sent more tax payor money over seas than any president in history,-1
young low obama expectations will save him washington times washington timesyoung low obama,0
a vote for obama is an investment in a strong future which is why the philadelphia inquirer endorses his reelection,1
listening to aaron klein on the radio he said the libyan thugs aided with arms by obama were actually alqaeda types allahu akbar,-1
obama cares about the poor and uninsured did yall forget he helped gouge the uninsured in illinois,1
i went knocking on doors talking to neighbors about early voting for obama and berkley and the entire ticket,1
do voters care about obama's foreign policy record we'll spend 100b in afghanistan in 2012 while 46 million+ us citizens live in poverty,-1
another obama fairy tale turns to dust cbo confirms 24 billion loss on bailouts conservative news views &amp; books,-1
why obama is likely to blow the second debate via,-1
obama holds slim lead before next debate,-1
obama turns down jobs keystone or put bans on gulf cuz of political agenda instead of wanting the jobs election2012 fightforjobs,-1
i could see that this would happen as soon as media failed w benghazi and then at the debate obama's narrative of bad mr fell,-1
if obama lose im packing all my shit and moving to bikini bottom fuck the bullshit,1
president obama remarkable and outstanding performance at tonight's debate make us proud we know you can and will,1
every plague has already hit america and its name is obama,-1
the boss will campaign for obama in ohio iowa via,0
so you can spend your way out of debt you're a moron america has a debt issue it's called 16 trillion and obama's spending,-1
only a blind lib obama loving person would think this axelrod said himself prez is totally responsible time to protect americans,-1
obama's brain in debate mode let's see that was feb of '09what lie was i spinning then,-1
update clean energy obama crony a123 files for bankruptcy; received 250 million in porkulus funds ==&gt;,-1
he can't vote obama we don't need a wussy pantswetting draftdodging whoopiavoiding wimp in the white house,1
[malkin] cleanenergy obama crony a123 announces debt default tcot,-1
heck no media is keeping this thing close so they have something to say obama is gonna win in a landslide,1
obama menendez ahead in latest nj poll three weeks before election day us sen bob tfb,1
obama is fighting for veterans' jobs,1
i too am not an obama fan i agree with paul ryan we've heard a lot of speeches from obama but no results,-1
nevermind that you gave tminus 10 hrs to stockup 'fore obama debates on a flying carpet like prince naseem hamed allah,0
unable to find donors in america barack obama heads to communist china notobama obamavsamerica,-1
why debates matter a listless performance by barack obama in the first presidential debate on october 3rd has u,-1
its obama's fault romney lies his ass off romney bears no responsibility for what comes out of his mouth,-1
obama failed &amp; will keep failing he's not smart enuf to run us he's only good at lies &amp; cover ups prayobamaout liar,-1
obama's a dumbfuck tooand the votes dont even count cuz none of u r 18 so it doesnt matter,-1
re hillary what is it about obama that engenders this sort of fealty he just seems like an inept civil servant to many of us hillary,-1
re hillary what is it about obama that engenders this sort of fealty he just seems like an inept civil servant to many of us hillary,-1
ha obama's 2008 town hall debate promises,0
rumsfeld blame for benghazi'does stop' with obama via,-1
time for the rematch tonight will be a game changer obama,0
'we need blue no matter what' intro op campaign strategies in obama hq philly awesome bkb,0
hillary 'fessed up to her part in benghazigate now it's time for obama to do the same but i shan't hold my breath,-1
this blame schtick is getting so old that's why obama will lose people are tired of him passing the buck,-1
via hillary apologizes for benghazi but wheres obama tcot &lt;&lt;==told y'all so,-1
i'm waiting for obama to get out he sock puppets to entertain the crowd,-1
women for obama hoodies hats plus size tees pjs keychains mugs stephaniemiller smshow watchingmama democrats for,1
that's laughable what do you watch obama's campaigners of abc cbs nbc cnn or msnbc brilliant,0
another obama executive order allows seizure of americans bank accounts,-1
if you vote for obama yu hate america,-1
not only willing to cheer but 100 behind president obama,1
women who see through obama administration lies did u really believe video murdered americans in libya,1
nobody has pointed out what a masterful job the obama campaign did lowering expectations for this debate,-1
in 2nd debate obama needs to explain why next four years will be different foxnews politics,0
and jab a chubby gringo thumb over your shoulder at obama rt don't say that one romneydebatetips,0
think as president barack obama has done exactly what he said he was going to do fundamentally change the usa,0
between fast and furious benghazi and the wars what is the current body count on pres obama's inteptitude tcot,0
obama's coming to ou desperate,0
obama 'we got back every dime' of tarp money nottrue,-1
one word to describe obama's looksfugly,-1
i am covered by a cobra policy and have applied to 2 health insurers and been denied obamacate is my only hope,1
with gas prices hurting all americans obama continues to block domestic energy production,-1
if she wants to run in '16 she really needs obama to be reelected,1
from where i sit obama has done plenty to divide america how is he not like lynch,-1
obama didn't know about f&amp;f he didn't know benghazi was an act of warhe didn't know his big donors got loan guarantees what does he know,-1
george soros is behind that not obama this is a shadow party thing clinton expendable power is not,1
enlightening washington times article about the radical proabortion policies of the obama administration prolife,0
oh ben the obama campaign fights a failed presidency with lies and innuendos ben labolt is president obama's propaganda tool,-1
why african americans are sticking with obama,-1
absolutely she's already indicated she's not staying in the state dept if obama wins it makes sense,-1
whoaobama is already on stage at hofstra university oh wait never mind that's just an empty chair,0
lol i also dispite obama not a good president,-1
americans there's something in the wood pile in the black house over benghazi does obama cover hill ass they have to go,-1
please ask the candidates to clarify how much of the 16 trillion debt can be attributed to the obama administration's policy,0
obama's crony empire crumbles as the curtain rises on the second presidential debate president barack obamas,-1
for every person who's entered the workforce since obama took office 10 have left it let's see obama defend that,-1
obama puts the blame for benghazigate on hillary of course its the woman's fault 4 jobs,1
simce the last debateyeslol romney just says what the people want to hear in the end he will screw them i have a feeling,-1
wanna finally know the details of romney taxplan =&gt; lol factsmatter debate obama election2012,0
obama is already perceived to be a loser oh you were talking about the debate carry on,-1
rush limbaugh obama campaign is done i personally won't rest until we have our freedom back from obama's destruction,-1
when can we obama supporters admit the arrogance of our candidate's campaign no new proposals running on fear not prepping for debates,-1
media already setting it up to say obama was to aggressive,-1
if hillary resigns i don't want to imagine who obama would appoint to take her place,0
a123 systems filed for bankruptcy today making it the 13th failed green energy company that obama have stimulus money to obamaisntworking,-1
fine since obama has much to hold head high for he represents usamericans who care re future of usa,1
i knoww falen got ha ass cracked &amp; meghan is obama daughter right lol,0
why isn't libya affecting obama ask them ==&gt; &amp; why won't they report the coverup,-1
obama plan creates jobs for teens,1
obama has now reduced the us budget deficit by 22 since taking office per treasury dept data,1
obama picks another loser as a123 files for bankruptcy after getting 249 million in taxpayer,-1
obama picks another loser as a123 files for bankruptcy after getting 249 million in taxpayer,-1
which is the obama eating tumblr ah hahaha last time see u tweeting abt it,0
you have nailed it obama does not live in reality smoke &amp; mirrors is all he knows,-1
mr president i really hope the moderator gets a chance to question mitt romney about shipping us jobs overseas sensata,-1
if you really care you'll vote obama red states have highest abortion rates most teen pregnancies gop fails,1
but obama only cares about the unions not parents seeking a higher grade of teachers 4 their kids that should piss u off,-1
'honey boo boo' endorses barack obama for president on 'jimmy kimmel live' video via decion2012,1
wow madonna promises to strip buck naked in the naughty nude if obama is reelected as president ^^ happy days,0
women decide elections and obama's eyecandy strategy is losing women by the millions,-1
i doubt your work claim you'd be voting obama if true,-1
completely agree regarding youth movement on the flipside much more enthusiasm for romney as opposed to mccain from rep base,1
i am not seeing many obama signs in california last election with hope and change,-1
[illinois] obama approval +14 chicago tribunewgn tv poll polls,1
bad news mitt romney's statements violate causality within the eschaton's historic light cone,0
that would be obama's plan tax payer paid transportation into the us,0
youngstown oh has worst poverty in us &gt; 497 have obama policies helped you ohio cincinnati osu,-1
obama doesn't care about the security of the american people here and abroad he does care about the muslim brotherhood being in power,-1
please address romney in the 1st person tomight it is so much stronger than using the 3rd person,0
obama's strength is connecting with regular people but can he counter whatever fibs romney has in store which romney will show up,0
it's unappealing how obama is making hillary take the fall for his foreign policy failures talk about war on women,-1
yet another loser for obama turns out romney was right he only picks losing companiesmaybe bc he has no business experience,-1
this is a calculated move by hillary to look presidential for her future run by standing up she outshines obama,-1
isn't it possible for both hillary and obama to take responsibility maybe even appropriate,0
obama sba loan program to help small business jack nevell,1
why does obama think he'll get reelected haha,0
yeah you never want to be on the taxpayer side of one of obama's investments,-1
romney finally reveals his tax plan it's unbelievable,1
there are difference but i don't think it is established that the obama white is less powerful and that is what one wants,-1
is talking about the 300 am call to obama during during the libya attacks thank god someone is talking about it too o knew,0
i believe obama doesnt really want to win the racehe wants to lay back in hi35m home with 400k for lifegolf and fawning celebrities,-1
you can only find out who is swimming naked when the tide goes out hillary pulled the plug on obama,-1
why have gasoline prices doubled under obama this billboard says it all tcot teaparty,-1
this is sick rt software ceo to employees if obama wins don't be surprised if i lay you off,-1
if clinton took the fall when will obama publicly apologize to video producer whose life is ruined election2012,-1
rumsfeld blame for benghazi 'does stop' with obama via,-1
all what mitt romney says is bull f'n s,1
let's go obama ur the bom u gonna win everyone knows that,1
another obama fairy tale turns to dust cbo confirms 24 billion loss on bailouts,-1
with the 2012 election exactly three weeks away jayz has released a new ad for president barack obama's camp,0
i'm honestly a believer in the strategy obama simply didn't execute the advantage comes now in the hand,-1
rt,0
agree on points; but how can obama address climate change w nearzero chance a cnnpicked undecided voter will ask about it,-1
i never said u could tell me who to vote for so don't think thatobama stands for positions that i like vs dislike,1
obama for prez we don't kill ourselves when it's trouble or bills too high we learn to balance the budget and continue on with progress,1
yiiiiiiiick and then have arabs kissing obama's behind as he drops bombs from the sky all over the world,-1
exclusive obama's white half speaks,0
detvs ny alds game 3 and presidential debate tonight only yankee i want to hit a home run is obama,1
as an interested observer here in the uk obama has done a great job just a shame congress has so many opponents goodluck,1
not my meme the problem i have is that obama as his first excecutive order embargoed all disclosure if his records transcripts,-1
obama incapable of anything but politics&gt;has put our foreign diplomats at risk&amp; like a good little leftist hillary takes the hit tcot,-1
whoa look at hill falling on her sword for obama ahead of the debate tonight,1
still don't know where gopers get that obama said al qaida is completely destroyed he's only said he's ridden of many leaders,1
we put the nation in the hands of obama who had no exec experience &amp; no accomplishments for nothing more than symbolism thomas sowell,-1
is absolutely right it will be a nightmare for israel if obama is reelected,0
is absolutely right it will be a nightmare for if obama is reelected,-1
obama's sustained efforts to claim he's not responsible for anything belong in a letter of resignation not a reelection campaign,-1
i don't trust any clinton much less any obama administration personnel they are corrupt to the core and all need to go,-1
will there be riots if obama loses bring it on you losers riot would love that,0
will someone tell obama obamacare extends its losing streak to 114 via,-1
calls president obama's debate performance an embarrassment announces sequel to tupac's killuminati,-1
of says has been a piss poor president vote,-1
rt want to help reelect there's plenty to do visit the mason obama hq at 108 west main st next to buskin bakery,1
[interviews] buckshot calls president obama's debate performance an embarrassment announces sequel to tupac's ki,-1
rt miners fight back against obama tv ad absolute lies via,-1
obama is his last name barack is his first,0
'whatever number of jobs were created during the obama administration more have been lost',-1
good luck mr obama,1
why do secret conversations like this get leaked to the press fire obama tcot nobama2012 tlot,-1
how dare they put the fate their company ahead of obama's reelection campaign damned selfish business owners,1
if obama doesnt win im movin to africa teamobama,1
bain closing sensata 170 jobs lost obama takes gm 65k dealeship jobs lost100 bil taxpayer money 20k lost pensions winner unions,-1
awesome the koch brothers threatened that their green bay employees will lose their jobs if they vote obama,-1
whatever happen to the vote or die campaign where did all the support go obama had before,-1
yeah we hope obama is gonna make it,1
i've seen more romney ads on my fb than i have on tv but then i don't watch tv much so,0
well good he wouldn't use peoples taxes to pay for the churchbut nothing to worry about anyways obama will win,1
miners fight back against obama tv ad absolute lies lies about libya,1
here we go againgreen battery company that got 250m in taxpayer cash goes bankrupt thanks obama mitt2012 obama,-1
will you automatically show respect for romney if he wins regardless of how he leads,-1
with its low unemployment and sound housing market iowa boasts the economy that obama once promised the country,1
obama is not up to the job over his head,-1
obama spends 4 days cramming for debatehe must not know anything or hes practicing his lies,-1
obama self,0
how obama's fuel standards are shaping the future of transportation,0
obama campaign criticizes gallup for swingstate poll,0
and was hillary responsible for obama's speech to the un where he continued the youtube lie,-1
and they prove to be obama is taking from the military to give to banks sounds about right,0
[ president obama best choice for all americans,1
obama let america's debt and deficit cancer spread via,-1
hey obama said he would cut the deficit 50 by end of 1st term estimate now is 40 cut not bad right,1
rt this is clever obama love it,1
obama at the very least that today almost all is smart,1
new chart from shows how pres obama's failed policies have hurt jobs raised costs driven up debt,-1
fact as president obama has added a record 5t+ to our national debt tcot cantafford4more,-1
video obama's got to go y'all can't get beat out of my mind,-1
rt obama bans drilling in half of alaskas petroleum reserve,0
egyptian sheikhdown the obama administration is showering billions on sworn enemies of the united states and,1
president obama has pushed jobs bills that repubs blocked in order to jobs number high,-1
president obama and his fellow democrats are either idiots or deliberately trying to destroy their own economy vladamir putin,-1
hapless obama spreads blame bush congress wall street millionaires multinationals now clinton for libya gallup for women,-1
boehner made it clear that the mission of congress was to stop obama at every turn implacable congress must be voted out,-1
trillions of dollars in debt could cost middleclass families 4k in higher taxes mitt,-1
obama'spromises remind me of the high school kid running for class president who will put a soda machine in the cafeteria,-1
obama's promises remind me of the high school kid running for class president who will put a soda machine in the cafeteria,0
also saw the ad w kid asking obama why do ppl hate u obama should tell the truth ppl don't hate him we hate his policies,-1
bo voter suppression romney campaign files federal suit 2 ensure all military ballots count in wisconsin,0
only have 1 correction moody's analytics 12m jobs prediction is the path that obama has set us on that shld be pointed out,-1
obama camp attacks gallup again,0
president obama tours a wind turbine plant,0
you niggaz better vote fo my homie obama,1
since u keep talking about the electoral college obama is ahead in all the major states except in the slow ass south,1
obama is a politician and a genius marketer we still haven't digested that there is a black man labeled leader of the free world lol,1
obamareal plans for a second term,0
'obama pride lgbt americans for obama' video stars zachary quinto wanda sykes chaz bono and more,1
i love how msm is now saying is getting obama size crowds shows you they can't stand to give romney credit tcot lnyhbt,1
gop leader praises obama private sector jobs save economy,1
agreed obama is up agains a compulsive liar and needs to address him as such,1
you lie the auto bailout was a failure new cf&amp;p video exposes obama biden's claim to fame as a costly taxpa,-1
paul ryan debt is up 45 since obama became president,-1
you can never argue logic with black people they only see obama's black skin &amp; defend his incompetence always,-1
with us elections nearing president obama appears to have the advantage see the 101512 report,1
i would vote for a doorknob rather than obama so you are wasting your time,-1
out of work college grads living back at home with parents are disgruntled with obama election2012,-1
if obama were an accountable leader he'd take charge of libya investigation and call for those responsible to resign tcot,-1
obama administration is full of criminals marxist islamist abortionist murders liars and cheats money wasting gay sex lovin scumbags,-1
mim obama administration denies mother answers about her sons murder,-1
sickening this is obama's war on women tom o'halloran,-1
why bill hiring attorneys obama has hillary take responsibility for benghazi hiding behind her pantsuit gutsycall,0
obama made our country worse more debtour military is weakuntrained it may look less unemployed just can't claim nemore,-1
drop em to tha floo' make the ballot shake vote for obama for a good estate vote for obama for some free cake,1
breaking obama preparing military strike against benghazi terrorists via,1
dear professor obama please bring out campaign obama and don't bore me to death tonight get it get it,-1
hillary clinton shields obama from benghazi scandal via tcot gop romneyryan2012 mitt,-1
bipartisan romney as gov 800 vetos 750 overidden seriously 1 legacy healthcare winv mandate get your game on,1
obama needs an enema,-1
[jwf] former obama aide he really doesn't like people tcot,-1
obama needs our prayers for tonight's debate this is serious pass it on to your folks who believe that prayer works,1
i completely agree with you both are unfit to rule this country but i think in the hands of obama this country is in big trouble,-1
i hate obama with a passion and i voted for the asshole in 2008i love being honest,-1
ed your comments clearly show your inability to even consider that pres obama is wrong on anything,-1
koch industries other ceos warn employees of layoffs if obama is reelected the ticket yahoo news via,-1
apparently obama is not the president he seems to never make any decisions &amp; never knows whats goin on,-1
it'll be interesting to see if obama can hide signs of withdrawal,-1
laura how many ppl have been injured or killed as a result of obama and his administration publicizing that antiislam film,-1
i'd like to see whichever obama throws spears better,0
haha i might not agree with joe biden on everything but he was amazing also made up for obama's weak debate d,-1
rudy giuliani likens interview with cnn's soledad o'brien to debating obama team member,0
obama a real nigga he gave his wife a shoutout on cnn while some of you guys won't even put your girlfriends in your bio,1
i hope obama handles today like a boss,1
obama needs our prayers for tonight's debate this is serious pass it on to your folks who believe that prayer works,1
why did gubnamitt say on his 47 video tape i don't really have to do anything if elected because obama's plans are working,1
cmon chris they liedromney had 75 vetoes overturnedobama never raised taxes on middle class,1
h ross perot we can't afford barack obama cantafford4more tcot,-1
rush limbaugh thinks obama is done ironic rush limbaughs been done forever,-1
obama spin laden dropping beats like the twin towers,0
president obama has declared the new orleans a national disaster,0
tcot former aide says obama doesn't like people not close to anyone,-1
hillary took a bullet for obama n the buck is still falling,-1
obama loves investing in companies that go bankrupt car battery maker a123 files for bankruptcy via,-1
action speaks louder than words our president has demonstrated that obama cares,1
the oriental rug that's purchasing obama's failed green energy companies for cheap,-1
obama has a shovel ready job for the listeners tonightscooping up all the bullsht he'll be spewing tcot,1
yet another one of obama's green energy 'investments' files for bankruptcy taxpayers lose 249 million p2 tcot,-1
the obama campaign'sa new basemotivating strategy now involves telling liberals they are stupid delusional and senile,0
if you really want to be mind blown watch 2016 obama's america,1
rt thanks obama another ma green stimulus company headed for bankruptcy wtkk,-1
also i can't help liking the obamasupporting kids a little more,1
video jay z endorses president obama says your vote matters in new public psa,1
obama willing to take responsibility for never taking responsibility for anything he does not want to be responsible for is that clear,-1
i really do believe people will receive index cards of the questions that will be allowed to ask obama is a cheat liar,-1
image obama can't be bothered about jobs it's an election year; mia,0
debate redemption 2night for round 2 of obama vs romney &gt; free entry + cocktails +,0
goes on record about child poverty do you think his plan goes far enough vote4kids,-1
goes on record about child poverty do you think his plan goes far enough vote4kids,-1
ha i remmembershe is like a gaga obama too,0
love you jack hang in and i'll keep praying i think god is keeping us aroung to fight this plague obama on our great country,-1
the loyalty is to the 'cause' not to obama,1
its says i voted for barack on the inside,1
isn't it obvious that pandit quit because of obama's looming jobkilling tax hikes,-1
may be a timid i don't like obama but i'll vote for him anyway pundit but he makes up for w copious amounts of lotr quotes,1
busted obama &amp; hillary together lying in color tv ad blaming video throws usa under the bus mp4,-1
tea party drops hardcore ad starring 'obama phone' lady tea party fox nation,0
the national debt has increased by 50 percent since 2009 we need policymakers who will fixthedebt blame obama,-1
this is why obama is a pisspoor president,-1
will smith &amp; to host an obama fundraiser,0
whoohoo gop leader prasies obama private sector jobs save economy via,1
obama lies again to univision fast and furious with over 300 mexican's killed was bush's fault hispanic tiot,-1
latin support obama,1
correct not all of us from the net generation have fallen for obama's lies and entitlementsnot in 2008 not now,-1
obamae you are pathetic hiding behind hillary on the streets where i grew up you would be called a pussy,-1
please call re littleknown but huge obama clinton &amp; buffett finl fiascos im a trader 18 yrs 56162598275612759400,-1
obama is out of his depthhe's going to lose and that will be a good thing for everyone,-1
it's bear arms moron and there hasn't been one enactment by the obama admin about guns or health care choice,-1
paul ryan debt is up 45 since obama became president notshocked,-1
video what if you looked in the mirror &amp; saw the world's most powerful man staring back at you meet the bronx obama,-1
what's so stunning about this president obama likes power perks &amp; adulation of wh position not the details of doing job,-1
government seem to be make obama and his buddies richer,-1
wow dude just thought barack obama lives on sherwood forest and steals from the rich and gives to the poor,0
who is a fictional character who lives in sherwood forrest that robs from the rich and gives to the poor barack obama only on repogames,0
obama's war on the middle class,-1
obama set to cut federal deficit by almost 40 by the end of this fy,1
mark mckinnon obama has to dumb it down at hofstra debate via,-1
i'm actually beginning to feel sorry for obamanever mind it passed like smelly gas,-1
what can she say that isn't obvious obama is a coward and not bothered by letting her take the fall,-1
women turning away from negative obama\biden ticket tcot,-1
ryan obama has us on the path to a europeanlike debt crisis spending debt energy oil food welfare govcronism,-1
